size,type,weight,dist_f_ch,dist_ch_s,time_sec,bench_free,priority
small,iron,13.375385477998117,31,19,7757,1,2
small,gold,10.834218172192328,5,21,8328,4,4
small,iron,5.831369044664282,57,10,2172,5,1
small,gold,14.795275613232166,3,16,15535,5,4
small,gold,9.394158101085392,38,17,12290,3,4
big,gold,13.656389441614406,31,6,11356,5,4
big,iron,15.835733309025478,3,8,1116,9,1
big,iron,11.94909909116031,54,16,8825,10,1
big,gold,8.799121258422018,24,27,7048,3,2
small,gold,8.2122849969731,50,14,3482,3,4
big,gold,15.573793497176606,28,26,18566,4,3
small,iron,18.373138765580784,11,10,18909,1,5
small,iron,19.69962337425078,17,9,18630,2,2
big,gold,17.0490467734115,8,29,6065,2,4
big,iron,14.040568643492545,24,16,3458,2,4
big,gold,17.964880881892096,37,10,1241,8,1
big,iron,10.844894473759254,33,23,10841,10,1
small,gold,18.2328121570766,20,21,5931,0,4
big,iron,11.453579300682573,21,6,18178,1,5
small,iron,13.930066213297232,30,30,3671,5,1
small,gold,7.548852546392873,17,7,18811,3,5
small,iron,12.457982550992789,43,4,7342,2,4
big,iron,10.122401054552357,19,26,17693,6,1
big,iron,10.497582268386385,54,7,16345,5,2
small,iron,13.972757578352306,15,16,13699,2,3
big,gold,18.22822911389111,11,22,7564,2,4
big,iron,17.389248480859298,57,23,14785,3,1
big,gold,10.234450455504271,4,18,9171,5,4
big,iron,16.007629754962775,0,8,19328,3,4
big,gold,13.214355896164596,13,25,15905,10,2
small,iron,10.224496305550652,10,21,11289,4,3
small,iron,18.620867060736224,33,16,10173,2,1
small,gold,7.418889570580465,52,20,1421,2,2
big,iron,17.077244439170705,5,28,14499,7,2
small,gold,8.183452577886682,31,22,16183,0,3
big,gold,18.386799033781685,19,9,9652,1,4
small,gold,15.820072346589571,47,26,8807,2,3
small,gold,11.974142160460012,18,17,6896,8,1
small,iron,6.159798355087967,18,29,10675,4,3
big,gold,7.70250147355537,6,27,10063,4,5
big,iron,7.474390088885519,0,30,16908,0,5
small,iron,16.423336885447416,59,7,19570,3,4
small,gold,14.330205380719883,26,29,5989,1,5
big,iron,8.264272020389651,52,19,2156,0,3
small,iron,10.515089728707773,59,26,10425,1,1
big,gold,9.639972699590661,36,14,17718,2,4
small,iron,14.787361851501108,33,22,4413,5,3
big,gold,9.955830678722608,53,19,12514,1,4
big,gold,16.529041883618987,45,10,1365,5,1
small,gold,15.424508185003257,17,8,19362,4,5
small,iron,8.639067997068468,60,25,2795,0,1
big,gold,9.85741542884242,51,19,4995,2,4
big,iron,13.241914511419488,1,24,5154,2,4
small,gold,18.61790284442862,41,19,7631,10,1
small,iron,6.672239270130726,2,9,15545,4,3
small,gold,10.378851911583896,14,19,2192,5,1
small,iron,13.987653808774311,38,4,2799,1,2
big,gold,9.868190399212459,41,8,1048,5,3
big,gold,9.343285358281756,13,19,1759,5,3
small,iron,11.47920287113711,31,14,9291,6,1
small,iron,7.889194332359506,6,25,3837,0,4
big,iron,14.05156994358643,30,16,1792,1,3
big,gold,18.17478626683484,15,22,13989,1,4
small,gold,18.661351552006575,56,21,12052,4,1
small,iron,12.071210370936548,48,5,1190,1,3
big,gold,9.401678667914606,23,29,11277,4,4
big,gold,10.735947568998187,25,15,7353,2,4
big,gold,8.425335261477752,56,6,18907,5,4
big,gold,13.978199646606809,52,22,14226,4,1
small,iron,7.0207595125259195,50,29,18229,4,2
big,gold,9.772630075533748,33,27,13310,2,4
big,gold,7.55887953571604,25,27,5899,0,4
small,gold,8.079068278494782,37,9,8437,1,2
small,iron,15.071836180029328,47,14,18485,5,1
small,gold,19.89109644770527,6,18,14551,8,1
big,iron,15.131282054525297,7,19,1091,5,1
big,gold,8.661615276037967,26,6,4204,3,5
big,gold,11.114866118664754,30,11,14658,1,5
small,gold,14.419173177511276,11,9,8617,0,4
big,gold,18.01086202175165,3,17,11609,4,4
small,iron,15.713777767730617,30,10,9176,1,3
big,iron,7.180613415902554,11,26,7100,0,4
small,gold,14.058857371813613,8,17,6947,0,4
big,gold,7.957644762212418,21,4,16431,6,5
big,gold,10.614904408166337,55,25,9114,5,1
big,gold,19.472317731394547,5,28,7068,2,5
big,gold,18.381223281479468,28,12,18487,10,2
big,iron,8.851598735302284,54,18,10608,2,4
small,iron,15.92812019012952,0,9,14325,4,3
small,iron,9.942790385188655,53,20,13707,2,2
big,iron,5.117873330875776,47,17,5310,3,3
small,gold,17.751740088267827,0,16,5355,3,5
big,gold,17.337397226665466,25,8,10238,4,5
big,gold,9.412396764886454,6,10,2329,2,5
big,gold,16.581396347817087,23,7,6348,0,5
small,gold,5.472309875440054,57,14,13898,1,3
big,gold,13.096759663302741,51,4,4296,3,4
small,iron,19.723756759494908,0,17,3714,2,4
small,gold,16.827175755540956,50,13,18933,1,4
big,gold,13.633431279687066,58,15,4244,3,3
small,gold,10.487321276530313,39,25,12123,5,3
big,gold,16.030141160946204,34,19,4000,4,2
big,gold,19.631127708565227,40,29,17960,1,3
small,iron,7.881812512356683,33,4,14948,4,2
small,iron,5.743001075645637,14,5,14372,5,4
small,gold,10.659009099752524,2,23,6292,1,5
small,iron,12.753099854008756,2,26,12727,1,3
small,iron,8.678275249483974,22,18,14812,0,5
big,gold,14.24841018430927,45,13,12725,5,3
small,gold,9.588022156806979,51,28,11349,4,1
big,gold,19.728788688873138,13,11,10688,4,4
small,iron,8.980205194802044,19,17,10142,5,1
small,gold,17.044697045469718,0,30,11593,3,3
big,iron,19.46955153414884,55,4,18083,10,1
big,iron,12.493172955275716,9,25,4769,5,3
small,iron,7.988788739214532,31,25,11560,10,1
big,gold,18.355701093675776,3,17,16362,2,4
big,iron,11.03510708218771,51,29,4732,3,2
small,gold,13.161867083187806,53,8,2139,1,3
big,iron,5.735601021783381,47,20,19672,5,3
small,gold,10.221570084860472,10,27,15631,1,4
small,iron,13.339326306995059,28,14,6205,2,2
big,iron,15.39478549612502,58,11,1264,3,1
big,gold,19.267192946914783,50,18,9477,4,2
big,gold,13.752447964453493,9,18,14134,4,5
small,iron,9.070977749252604,52,27,7532,10,1
small,gold,13.357530507230539,29,13,14497,4,4
big,iron,6.063822139726092,58,6,14784,4,4
small,gold,7.221461103228845,25,26,5691,3,3
big,iron,10.277604821944083,4,5,9287,2,5
big,iron,5.333852827314003,29,8,15697,5,4
big,gold,6.129863381853425,49,26,7001,2,3
big,iron,5.110144441769981,50,23,7212,3,2
small,iron,7.726843294591635,40,8,12946,1,2
big,gold,17.383108485175953,53,7,7931,2,3
small,gold,10.271050804204183,42,23,9846,4,1
small,gold,18.536780784254756,35,20,11808,1,2
small,iron,18.27406520676586,56,28,350,4,1
big,iron,17.951844134408606,16,17,13801,4,2
big,iron,8.178021259287387,2,10,12898,4,5
big,iron,10.135893988055342,57,5,15943,0,4
small,gold,12.024947441194973,46,29,3181,1,3
big,iron,11.473894908776638,47,6,487,1,3
big,gold,6.1985034398827485,22,25,19211,4,5
big,iron,8.583332758899228,31,20,948,5,1
small,gold,14.303259743360275,36,22,14887,2,5
small,iron,15.148097629749142,39,20,14622,1,2
small,iron,10.46981740713758,14,18,7472,3,2
big,iron,9.454935674694893,23,22,7183,5,3
small,iron,13.790990567688798,17,10,1204,2,4
small,iron,14.952009382020679,27,29,16385,1,3
small,iron,15.664762938466781,37,19,6553,3,1
small,gold,17.164422317807944,15,9,18997,5,4
big,iron,13.758131919914979,22,5,13029,4,5
big,iron,10.683108922898102,22,23,447,3,3
small,gold,10.218340131127977,18,15,17973,4,4
small,gold,5.515111930889064,49,25,18064,0,5
small,iron,11.245389711666128,2,21,14954,4,4
small,gold,18.031708734059883,36,29,18386,0,4
big,iron,14.414942446754235,9,27,15403,2,4
small,iron,13.895975780101823,29,24,12034,2,4
small,iron,8.357202628317808,37,9,2606,4,2
big,gold,13.941171586109514,28,22,9113,1,4
big,iron,7.70617023267023,24,5,4587,1,5
small,gold,10.115345933658228,36,9,7466,5,2
big,iron,13.767339681719342,1,4,15809,2,5
big,iron,5.680742855813761,55,27,16983,4,1
big,iron,9.671200635878337,21,26,7527,6,2
small,iron,6.32785942142171,2,13,3865,6,2
small,gold,7.459270511524301,22,13,17168,4,2
small,iron,10.28219689223367,21,12,13164,4,4
small,gold,15.39231047503772,14,7,808,5,2
small,iron,9.011382789805161,37,12,8614,4,1
big,iron,5.301206743920317,10,25,12340,1,5
small,iron,10.985752824529241,21,6,2457,1,4
big,iron,8.315284129091422,0,6,10178,5,5
big,iron,16.67422739742386,14,10,10200,4,3
small,gold,17.329500620620532,38,19,16097,1,4
small,iron,15.064570199395092,16,28,7953,0,2
small,iron,14.194887833862547,46,21,3390,3,1
small,iron,15.959370133861015,30,12,8180,3,3
small,gold,10.639840446320218,14,28,3961,4,4
small,iron,14.76721329445707,16,17,15671,4,3
big,gold,11.295907403187636,19,15,9854,7,4
small,iron,11.4474311007851,32,29,10172,3,2
small,iron,16.83097182387853,54,22,12085,5,1
small,gold,16.866161584936975,14,19,17320,5,3
big,gold,11.006730986588401,58,4,3249,4,5
big,gold,19.057265951278897,39,10,797,2,4
small,iron,13.123118687973372,34,18,18127,1,4
big,gold,12.307598377027707,19,20,19211,0,5
big,iron,12.523209990542327,24,15,16862,5,1
small,gold,16.690474561265567,46,16,3732,4,2
small,gold,19.513132593449853,60,12,2512,5,1
small,gold,15.350854420304897,30,4,7174,4,3
small,iron,10.119346345416854,3,28,16991,2,4
big,iron,12.752031608075354,34,7,17610,1,4
small,iron,9.608051500229765,18,21,18290,0,5
small,iron,14.805151383702865,46,21,5582,4,2
small,gold,19.98828831428302,32,19,4890,1,3
small,iron,17.97406555928503,8,22,5952,2,3
big,gold,12.09118215299297,15,7,17293,5,5
small,gold,10.132767646299511,55,13,1485,2,2
small,iron,11.791026445999927,56,22,11262,5,1
big,iron,9.74359484366396,23,19,2006,3,2
small,gold,19.87454174201426,32,16,16048,4,2
small,gold,8.028630339492741,20,10,5805,0,4
big,iron,17.146407809404863,54,22,12051,2,1
small,gold,11.21519290290995,51,4,8531,1,4
small,gold,14.775207718857203,20,23,5961,0,3
small,iron,18.84243485090129,15,25,15514,5,1
small,iron,13.881304626260834,10,26,13845,3,1
small,iron,14.252450886598218,47,18,16211,2,3
small,gold,5.540121818561497,55,16,13993,2,4
big,gold,6.932390429857661,32,8,15299,2,5
small,gold,13.1077381202961,29,27,14423,0,2
small,gold,10.55965136937732,22,23,2289,5,1
big,iron,14.137071091011837,48,13,15202,0,5
small,gold,10.763684573464465,2,13,7983,2,5
small,gold,7.624421296405496,19,21,12927,0,4
small,iron,16.951356826842176,36,9,1341,5,1
big,iron,17.677124127743784,6,13,8681,1,2
big,iron,19.520482995072914,21,20,6772,2,3
small,gold,8.010864310241054,38,28,6650,8,1
small,iron,9.672004822333994,21,28,8539,3,2
small,iron,9.211929411809747,16,15,18192,2,5
small,iron,18.95165982841208,44,18,13985,3,3
big,iron,13.961104163639998,55,9,16281,4,2
big,gold,18.836485467096114,13,8,11617,3,3
big,iron,18.3549957647464,17,30,16704,3,3
small,gold,8.679251317276272,13,4,14750,2,5
big,iron,11.417373214715365,17,12,1825,5,2
big,gold,11.204343341001104,56,20,13082,2,5
small,gold,12.303528928692291,45,28,8130,4,1
big,gold,19.965499049130585,49,24,9845,1,4
small,gold,7.606603510917828,23,26,7085,3,4
big,iron,16.586550657591168,7,4,1514,3,2
big,gold,8.414356834324765,8,18,17517,4,5
big,iron,16.090835691390524,56,14,4564,2,1
big,gold,8.040682349556821,14,11,6627,4,5
big,gold,12.906252586726236,6,19,12618,0,5
small,gold,15.016619089860756,40,5,18808,4,4
big,iron,11.47818410586449,19,11,5341,4,1
small,iron,19.492445643885674,7,10,16194,2,4
big,gold,15.583248974096296,20,13,2509,0,2
big,gold,7.359929512169947,42,27,17374,3,3
big,gold,10.582122100377218,20,20,4546,8,3
small,gold,9.709772515933931,57,11,2128,5,1
small,gold,9.432525997288415,26,27,11963,0,5
big,iron,8.176285117278276,8,10,19518,2,5
big,gold,7.78577876921709,54,29,18817,5,1
big,iron,18.052406845718522,16,5,7397,1,3
big,iron,19.840013854112698,21,28,1693,3,1
small,iron,7.40043968148583,20,17,1605,2,2
big,iron,16.868855834253544,29,10,3952,7,1
small,iron,8.4132201901328,35,18,12471,4,3
big,iron,12.825047022351999,34,25,9021,2,2
big,gold,7.957049074700403,39,22,17292,3,4
big,iron,9.066655028285437,16,30,1820,3,3
big,iron,11.160410848244254,58,27,14561,2,1
big,gold,15.575664497858227,28,11,18946,1,5
big,gold,12.110476695449627,59,6,14106,0,4
big,iron,17.150818053821475,4,22,18942,4,4
big,iron,6.4488865527896895,19,14,18824,2,5
small,iron,13.57774240050955,50,19,6824,6,1
small,iron,6.600590979620847,12,20,19345,2,5
big,gold,6.767032406010399,39,6,3337,5,3
small,iron,9.633553523722153,15,9,16478,4,4
small,gold,6.5746515625708755,50,26,18801,2,5
big,iron,16.63188009386495,37,11,15681,1,2
small,iron,12.61087860893032,30,14,15943,4,3
small,gold,14.668336825503797,16,25,7009,0,4
small,iron,5.843939562319601,56,10,14288,0,1
big,gold,8.37209130002216,49,4,9254,0,5
big,gold,12.849373804124097,28,17,3379,3,5
small,iron,6.230163121533819,28,28,10598,5,2
big,iron,7.408775989903789,46,18,17647,1,4
small,iron,5.328222585367427,0,25,9581,1,5
big,gold,18.672327921138564,47,18,9434,1,4
small,gold,11.468583913593823,47,12,16141,5,1
small,iron,5.675306603305562,45,27,19366,1,4
big,gold,11.90737733240698,25,13,19865,3,5
big,iron,18.313206831401118,28,10,17787,2,2
big,gold,7.8492367592046595,60,10,4114,5,1
big,gold,8.567975957005359,42,10,4790,5,3
big,iron,19.73349876000634,46,4,15775,3,3
small,gold,17.808644641302248,28,27,15824,6,3
small,gold,13.227913982436862,34,23,12221,0,4
big,iron,7.790188399319972,22,5,13539,3,5
big,iron,8.29287232193534,7,25,14533,2,5
big,iron,17.921873410095653,49,25,3386,1,3
big,iron,15.13302413702677,31,8,10012,4,2
big,iron,10.264160396879387,32,11,12005,0,2
small,gold,5.389517957506127,37,14,13922,1,3
big,gold,7.040322579267896,41,20,4274,4,4
big,iron,15.938440121714994,52,16,12507,5,1
small,gold,14.731225208211645,45,10,8390,3,2
big,iron,10.38173079147906,49,6,13115,3,4
small,gold,13.879379618665741,43,29,4978,5,1
small,iron,16.326772073042733,57,11,19020,0,3
small,iron,14.657400341104285,7,25,7625,2,3
small,iron,8.59265949799069,43,11,915,1,1
small,iron,19.272565787130564,7,30,5827,2,4
big,gold,5.354426019202196,29,27,5920,5,2
big,gold,13.344134288586991,2,10,6979,3,5
small,iron,8.349647820758628,25,6,12888,5,5
small,iron,15.612808690148666,23,23,919,3,1
big,iron,13.42708141267159,29,10,7645,5,3
small,gold,7.935548222452424,51,20,3231,1,4
big,gold,12.588319811793525,18,16,8999,3,5
small,iron,12.796090365927023,6,17,6711,1,4
small,iron,11.30452390680169,8,7,8536,4,3
small,gold,5.632583669502608,48,6,7798,5,2
small,iron,8.10165872621013,15,9,15564,1,4
big,gold,19.53224721012299,22,19,17861,1,3
big,iron,7.8273535659933415,42,29,1139,2,3
big,iron,11.88144648060072,53,11,7512,0,4
small,iron,9.410605200403968,4,27,8998,4,3
small,gold,16.35271404046534,46,19,7966,5,1
small,iron,13.671325516375175,23,7,13339,5,2
big,iron,15.731124235384343,31,20,14093,1,3
small,gold,14.554651642549988,10,11,8187,2,4
big,iron,12.555486786607787,7,17,11746,3,4
big,iron,19.409341267614824,42,27,1299,2,1
small,iron,15.547748874083112,38,26,3432,2,1
small,gold,15.332385969395677,20,13,18996,1,5
small,gold,15.357204542079957,22,11,11374,0,4
small,gold,12.001890545547523,31,15,7580,2,4
big,gold,14.640297055292804,26,20,19527,0,5
big,iron,14.067555328677637,50,8,18807,0,4
big,iron,18.32436243811588,13,28,1155,3,1
small,iron,19.68276005522523,32,18,18428,5,2
big,iron,12.24558573637093,39,10,3304,3,1
big,iron,14.012367457861018,18,7,2731,0,4
big,gold,9.353963637313013,12,20,2049,5,3
small,iron,17.681500106260323,36,18,12760,4,1
small,iron,15.660175958623356,24,10,11254,1,3
big,iron,18.859782236307076,59,28,5737,1,1
small,gold,14.075097736964315,12,20,17211,5,4
small,iron,15.629761621614916,34,16,4119,2,1
small,iron,6.427191148817152,25,11,7485,0,3
small,iron,14.100931203636277,21,26,11230,1,3
big,gold,10.65178526282009,34,27,18069,1,4
small,iron,12.62138079998318,46,19,10728,2,2
big,gold,9.898586786772636,18,29,16865,2,5
big,iron,9.308721578592634,37,13,17695,3,1
small,gold,17.310785721528102,50,5,11143,1,3
big,gold,13.36432344931669,59,29,13541,3,2
small,iron,8.798173529893333,38,22,8457,2,2
small,iron,16.50071099936726,9,30,14668,10,1
big,gold,6.122034565176251,51,23,6656,9,1
small,gold,9.397262482422247,60,12,15819,1,4
small,iron,10.044574653451534,57,22,2960,0,1
small,gold,7.663802014543787,42,30,1352,3,1
big,gold,17.640352942950965,7,16,1005,2,5
small,iron,15.108478623532132,37,30,7253,5,1
small,gold,15.054562296289841,11,13,3119,2,4
small,gold,13.89061036219875,46,12,12227,1,3
big,iron,10.674385466400286,3,14,11382,2,4
big,iron,14.885181359178853,9,16,15519,5,4
big,iron,16.044262229892958,42,29,5828,0,2
small,gold,13.077216902432706,15,5,16116,5,4
small,gold,12.060847258556326,5,8,16617,2,5
big,iron,8.352866158161973,7,4,17429,5,5
big,iron,6.259965714536541,18,19,16313,5,3
small,gold,5.619531578754255,30,8,13499,3,3
small,gold,15.713672987843829,43,30,1669,2,1
big,gold,10.229708026923472,31,11,2821,4,2
big,gold,15.626123935530392,25,14,18601,3,3
small,gold,12.618593352111253,55,28,5550,5,1
small,iron,11.703296216881984,47,21,19124,5,3
small,gold,14.433905301406751,26,12,12138,3,4
small,gold,7.748898193736777,60,29,11509,5,1
big,iron,19.69497581803527,43,23,12626,5,1
big,iron,9.953395394621928,22,4,7155,0,4
small,iron,16.537778346016744,24,29,114,1,1
big,gold,8.718014575113664,4,4,4800,5,5
big,iron,12.018964460589125,48,18,9919,4,1
big,gold,12.489643073734845,36,6,4678,2,5
big,iron,9.599876922393937,7,26,19566,3,5
big,iron,10.229338477988904,9,26,9418,0,4
big,iron,11.529316804187431,6,15,1182,1,4
big,gold,17.542895023940293,9,12,7989,5,3
big,gold,12.500757205829329,19,10,7371,7,1
small,iron,6.3286284648344155,46,29,13432,0,2
small,gold,8.250152362577335,60,24,11742,4,4
big,gold,19.790352148836515,25,6,8555,2,5
small,gold,6.3480829838983395,32,21,18741,3,4
small,gold,14.715931287245004,32,29,12645,5,2
big,gold,8.167358642469097,39,21,1493,5,2
big,iron,11.478957208362043,41,12,6643,1,2
small,gold,10.355295950102214,5,12,16725,4,5
small,gold,19.657662255657293,34,27,13973,2,2
big,gold,13.269084944182527,23,17,6167,5,5
small,gold,8.748705390477,49,11,5631,4,3
small,iron,14.053636102733208,56,14,5976,3,1
small,gold,6.070955490979534,21,11,11481,0,5
big,gold,18.899713298810287,34,28,5440,4,2
small,gold,10.163638393633514,15,5,8690,3,3
small,iron,18.250558051579578,3,29,17721,1,3
small,gold,17.138079570361775,8,18,12017,2,3
small,iron,7.801830757925075,51,7,3314,2,2
big,iron,19.434488141767865,19,19,11572,1,3
big,gold,19.875158194862497,6,23,1454,5,2
small,iron,17.079363719350614,14,26,10674,5,2
big,iron,11.772407227457588,37,11,15922,0,5
big,gold,15.088166280497388,25,19,7427,5,1
small,gold,6.209778952773287,9,23,17455,2,5
big,iron,18.816784803264998,28,25,18017,8,2
small,gold,8.326367864391472,53,10,5141,8,1
small,gold,15.750623144361628,28,6,6259,3,2
big,gold,17.022973612684883,59,16,19464,4,2
big,iron,19.54363384657922,22,11,4303,7,1
small,gold,17.35712784653981,15,15,18653,9,2
big,iron,17.270645056373407,35,26,8839,2,2
big,gold,15.580754935636302,51,26,2426,4,1
small,iron,13.649699602665248,49,10,18779,5,2
big,iron,5.628250862623668,55,13,3112,5,2
big,iron,19.590545401204764,3,10,12292,0,5
small,iron,11.734563273711023,46,28,7590,2,2
small,iron,16.951824024855906,1,28,19562,3,1
small,gold,10.659279469210768,47,6,13445,3,3
big,iron,11.840901821255498,16,19,16056,3,3
small,iron,11.935254415612413,42,10,147,5,1
small,gold,19.850125042936607,23,28,7213,3,1
small,iron,8.170222826210287,4,10,12244,4,5
small,gold,12.526485562167885,42,12,7299,9,2
big,gold,7.320356245940164,21,10,17119,0,5
big,gold,12.411829926237711,9,16,16271,7,5
small,iron,13.189475991727159,18,20,9562,2,4
big,gold,7.049758203018883,11,16,7379,5,4
big,gold,15.473827569324225,12,14,1604,6,2
big,gold,17.419812352158374,26,28,17146,3,3
big,iron,17.24041460178613,28,16,3799,4,3
small,gold,15.938334274621925,20,25,15616,1,5
small,iron,7.113259591003355,15,30,12312,3,2
big,gold,14.322010565030938,50,28,12591,4,3
big,gold,15.475360227706814,32,26,12336,4,3
small,iron,16.390311977614918,14,7,9980,1,2
small,iron,15.641019818117275,29,15,2910,5,1
small,iron,14.432034111182853,60,13,18495,0,2
small,gold,15.916140531684956,0,24,12496,1,5
big,gold,17.78485096317513,56,7,18772,5,3
big,iron,13.539783087911513,8,7,6150,3,5
small,iron,7.179451469107001,15,19,5070,3,3
small,iron,17.239354358859618,35,12,2058,3,1
small,iron,14.915251350079505,13,25,9981,5,1
small,gold,15.299167517771293,59,29,11109,1,1
small,gold,9.41310586627042,44,4,12013,3,3
small,iron,7.244898284553945,35,30,13685,2,2
big,gold,16.71082415826909,23,20,16198,5,3
small,gold,5.741299283166841,56,27,5249,3,1
small,iron,11.035212010139698,21,25,1256,4,2
big,iron,12.632924050013015,60,21,15520,4,2
small,gold,5.261458272465641,60,20,13930,5,1
big,gold,13.955095328543003,41,25,1283,2,2
small,iron,6.79439656106453,42,5,12639,2,5
big,gold,8.62172301131693,35,7,5388,0,5
big,iron,19.90352858750382,58,12,15816,0,1
big,gold,13.404087300515519,35,14,8899,2,4
big,gold,19.524085025246176,57,21,5981,4,1
big,iron,12.389517107353079,12,20,9657,9,1
big,gold,17.05137140715365,26,28,8916,2,2
small,gold,5.569850593947366,10,20,12362,3,5
big,iron,9.368907224181358,0,15,14530,4,5
big,gold,9.24836083960544,18,11,6263,1,5
small,iron,6.04699152947911,57,27,8574,0,1
small,gold,19.281525026929828,20,21,3244,5,3
big,iron,12.57018733530884,50,17,19312,3,3
small,gold,13.894574275665542,16,11,19357,0,4
small,iron,12.806917599824107,41,18,3984,1,3
big,iron,8.728461299520658,11,24,2312,3,4
big,gold,18.86454611457044,29,7,6186,1,5
big,iron,15.03490669685116,45,16,114,4,1
big,gold,6.854015526319003,53,26,9627,4,1
big,gold,11.92683592657876,22,18,10861,8,3
big,iron,5.022105764759963,35,5,10289,5,4
small,gold,15.12114800351131,35,29,3059,5,1
small,iron,12.853752943904388,27,10,18618,1,4
big,gold,18.562956819653376,24,30,13221,0,3
small,gold,19.210050123414078,56,9,17933,0,2
small,gold,6.47265831226038,26,25,13150,4,5
big,iron,6.342448371413792,44,12,6326,2,2
small,iron,18.48636331792018,25,15,10060,4,4
small,iron,12.681527487456892,32,13,708,2,1
big,gold,12.045168058537499,35,16,6738,5,2
small,gold,13.561836500732557,11,25,17443,3,4
small,iron,11.996023538303268,14,17,13784,5,2
big,iron,14.214022014322236,41,5,6078,1,3
big,gold,19.236038578459887,59,24,11844,4,1
small,iron,14.08974178540265,41,7,2998,3,2
big,iron,9.811027734063348,36,23,5572,2,3
small,iron,8.200759453748752,60,26,6990,2,2
big,iron,19.4917381902597,42,11,2285,1,1
big,iron,13.690992455797717,53,12,10406,0,2
small,gold,13.50001673653269,21,16,2646,5,2
big,gold,5.499955331866914,49,23,11105,1,5
small,iron,18.775807402388732,52,22,11427,6,1
small,gold,12.044044290501255,50,20,7234,3,3
big,iron,19.996250599103263,22,6,9077,3,4
small,gold,7.517979718480895,45,28,7324,6,3
big,gold,9.893076536718718,50,6,13530,5,4
big,iron,8.15113105059614,36,21,10703,5,2
small,iron,10.683976326910216,13,26,902,9,1
small,gold,19.649516545377324,11,23,15865,5,1
small,gold,11.22166861655793,51,29,19429,4,2
big,gold,17.40650814340018,11,7,7754,2,5
small,iron,16.329023691654317,58,8,11145,5,1
small,iron,9.46923837140995,36,9,13212,1,3
big,iron,13.69856059462767,12,28,4242,0,2
big,iron,17.775623954524725,12,30,13617,4,1
small,iron,14.169933984460437,2,27,4068,4,3
small,iron,8.973947245963142,36,22,1975,0,3
big,iron,17.947556291254305,50,7,17509,10,1
big,gold,13.342479392814043,45,15,15215,0,5
small,iron,19.700131868376705,35,7,1670,0,1
big,gold,14.834386528083995,35,6,1498,5,4
small,iron,11.732799269588664,14,17,2148,1,2
big,iron,11.538586067164461,50,24,17877,1,4
big,iron,18.201584613444723,32,25,15624,4,2
small,iron,19.708907063878463,50,20,19659,3,3
big,iron,11.15529599239281,60,17,18949,3,1
big,iron,7.445284782192818,53,30,16188,10,1
small,gold,5.596649000064154,57,26,8817,0,3
small,iron,9.835585156837507,45,24,16553,5,2
small,iron,10.12968236525135,18,7,1936,2,4
small,iron,11.387946938183843,17,5,3079,3,4
big,iron,7.1753872252964825,42,10,13787,1,4
small,iron,12.389925145209402,14,28,41,3,1
small,iron,19.150476636236792,31,23,5440,1,1
big,gold,8.487412925190302,42,10,6141,6,4
small,gold,15.271350815456268,17,17,18985,5,4
small,gold,5.56973664837668,6,4,2605,0,5
big,iron,14.65714620318651,8,15,18027,7,5
big,gold,19.062774790273235,42,18,15275,5,2
small,gold,9.2351650209959,7,26,17590,4,4
big,gold,17.243529343782726,48,22,15635,5,3
big,iron,6.236734248634688,1,7,56,0,5
big,iron,10.373534513884662,46,5,1420,2,3
small,gold,5.1005286449114005,38,15,18793,2,5
big,gold,10.32664180133546,16,29,7988,3,4
big,iron,9.647598796471723,16,28,13692,3,1
big,iron,15.391334520033201,32,4,18510,1,5
big,gold,9.417655058466528,35,28,970,5,1
big,gold,17.346420853134575,51,4,6316,1,3
big,iron,9.371848959796523,46,13,14367,10,1
small,gold,8.349792879318091,31,4,11114,0,5
big,gold,12.41789966228519,0,15,18399,2,5
small,iron,14.846869786934294,56,23,9767,3,1
big,iron,18.330909351986598,27,6,6892,5,2
small,iron,17.202633861808778,51,30,6271,4,1
small,gold,12.867558937126269,16,9,13585,0,5
big,iron,19.674369773780185,22,26,4835,4,2
small,iron,9.447745381038748,37,4,6649,1,3
big,gold,19.991948143853058,44,9,8314,5,1
small,gold,10.777771938470893,8,18,13110,4,5
big,iron,8.93612323967889,48,6,369,1,2
big,gold,10.741965685379785,34,30,10538,2,4
small,gold,13.78726467784386,49,25,9476,4,3
small,iron,12.109031300698662,35,7,2584,5,1
small,iron,5.7528133319541315,33,12,6790,3,3
small,gold,10.340101712319813,39,29,149,2,2
big,gold,12.377300148619922,30,24,19975,2,5
big,gold,14.94940261759768,6,14,15282,4,5
small,iron,19.29575113205356,20,11,16124,3,2
big,gold,19.33855821729811,59,5,4434,1,3
big,iron,12.710499578021329,15,30,8701,1,3
small,iron,13.536365264110112,26,8,8184,2,4
small,gold,15.470498245956183,13,5,1886,2,5
small,iron,17.52990325990297,27,16,17876,2,4
big,iron,16.17840857538108,47,16,1201,3,1
big,gold,15.807674442734127,43,9,16929,5,1
small,gold,11.709122110153146,6,10,3259,3,4
big,iron,18.034246147209814,56,22,12750,3,2
small,iron,14.938206643799193,38,18,19982,2,4
big,gold,7.387974763113699,41,10,5536,3,4
small,gold,13.975649798302332,46,14,5276,5,1
small,iron,9.658385126629076,40,24,2491,0,3
big,iron,8.046001715287582,53,30,19796,2,2
big,gold,14.73273889866147,42,9,3578,0,4
big,gold,14.633750674549805,60,9,15536,1,1
small,gold,19.32076142307813,41,19,18980,0,4
